State,Value
  111 1 1111,0.00713125
  111 11    ,-1.691206046
  111 11   1,-0.038689047
  111 11  1 ,-0.086189047
  111 11  11,-0.864149687
  111 11 1  ,-0.081557797
  111 11 1 1,-0.95
  111 11 11 ,0.085850313
  111 11 111,-0.99286875
  111 111   ,0
  111 111  1,-1.766649687
  111 111 1 ,-1.766649687
  111 111 11,-0.13549375
  111 1111  ,-0.816649687
  111 1111 1,-0.99286875
  111 11111 ,-0.99286875
  111 111111,-0.904875
1111,-0.95
  1111     1,-0.784526343
  1111    1 ,-1.594401343
  1111    11,0.775817203
  1111   1  ,-0.737026343
  1111   1 1,-0.988689047
  1111   11 ,0.775817203
  1111   111,-1.631155937
  1111  1   ,-0.95
  1111  1  1,-0.081557797
  1111  1 1 ,0
  1111  1 11,-2.581155937
  1111  11  ,-0.081557797
  1111  11 1,-1.766649687
  1111  111 ,0.085850313
  1111  1111,-0.99286875
  1111 1    ,-0.779895093
  1111 1   1,-0.129057797
  1111 1  1 ,1.502098141
  1111 1  11,-1.766649687
  1111 1 1  ,0.006435953
  1111 1 1 1,-1.631155937
  1111 1 11 ,-1.723780938
  1111 1 111,0.85963125
  1111 11   ,0.644723141
  1111 11  1,-1.766649687
  1111 11 1 ,-1.581155937
  1111 11 11,-0.99286875
  1111 111  ,-0.95
  1111 111 1,0.85963125
  1111 1111 ,-0.99286875
  1111 11111,-1.807375
11111,-0.95
